dataset,codec,quality,n_images,original_size_bytes,compressed_size_bytes,compression_ratio,size_reduction_pct,baseline_accuracy_pct,compressed_accuracy_pct,accuracy_change_pp,mean_psnr,mean_ssim
imagenette,jpeg,95,3925,102562443,192055201,0.534026,-87.256851,87.184713,87.057325,-0.127389,48.642688,0.997614
imagenette,jpeg,80,3925,102562443,108213113,0.947782,-5.509492,87.184713,86.726115,-0.458599,42.825879,0.992502
imagenette,jpeg,60,3925,102562443,91070454,1.126188,11.204871,87.184713,85.885350,-1.299363,35.550340,0.967974
imagenette,jpeg,40,3925,102562443,56818705,1.805082,44.600866,87.184713,84.152866,-3.031847,31.702361,0.910504
imagenette,jpeg,20,3925,102562443,39770814,2.578837,61.222829,87.184713,82.012739,-5.171975,29.145211,0.858559
imagenette,jpeg,10,3925,102562443,26882582,3.815201,73.789058,87.184713,76.917197,-10.267516,26.509672,0.779467
imagenette,webp,95,3925,102562443,170035698,0.603182,-65.787488,87.184713,87.031847,-0.152866,44.139295,0.991999
imagenette,webp,80,3925,102562443,89370528,1.147609,12.862325,87.184713,86.343949,-0.840764,37.736273,0.970252
imagenette,webp,60,3925,102562443,64264568,1.595941,37.341032,87.184713,85.707006,-1.477707,34.882803,0.948664
imagenette,webp,40,3925,102562443,50581014,2.027687,50.682713,87.184713,85.070064,-2.114650,33.085380,0.928510
imagenette,webp,20,3925,102562443,34623622,2.962210,66.241422,87.184713,83.464968,-3.719745,30.667775,0.889371
imagenette,webp,10,3925,102562443,25930498,3.955282,74.717355,87.184713,81.961783,-5.222930,29.209513,0.852365
imagewoof,jpeg,95,3929,101404244,191673984,0.529045,-89.019686,88.266735,88.368542,0.101807,50.131585,0.998082
imagewoof,jpeg,80,3929,101404244,106905386,0.948542,-5.424962,88.266735,88.139476,-0.127259,43.421387,0.992335
imagewoof,jpeg,60,3929,101404244,90688695,1.118157,10.567160,88.266735,86.688725,-1.578010,36.334549,0.968531
imagewoof,jpeg,40,3929,101404244,54407119,1.863805,46.346310,88.266735,84.169000,-4.097735,32.278525,0.903394
imagewoof,jpeg,20,3929,101404244,37443455,2.708197,63.075061,88.266735,80.809366,-7.457368,29.728416,0.845336
imagewoof,jpeg,10,3929,101404244,24775331,4.092952,75.567757,88.266735,71.850344,-16.416391,27.034385,0.755373
imagewoof,webp,95,3929,101404244,173746620,0.583633,-71.340580,88.266735,88.292186,0.025452,44.434102,0.991827
imagewoof,webp,80,3929,101404244,89338586,1.135055,11.898573,88.266735,87.528633,-0.738101,37.655201,0.966502
imagewoof,webp,60,3929,101404244,63338286,1.600994,37.538821,88.266735,85.976075,-2.290659,34.780732,0.940235
imagewoof,webp,40,3929,101404244,49231630,2.059738,51.450129,88.266735,84.550776,-3.715958,33.029763,0.915516
imagewoof,webp,20,3929,101404244,32886300,3.083480,67.569109,88.266735,81.165691,-7.101044,30.742321,0.867423
imagewoof,webp,10,3929,101404244,24021152,4.221456,76.311492,88.266735,77.602443,-10.664291,29.410336,0.823294
