dataset,path,class_id,target_index,target_label,codec,quality,predicted_index,predicted_class,top1_confidence,is_correct,original_size_bytes,compressed_size_bytes,compression_ratio,psnr,ssim
imagewoof,data/imagewoof2-320/val/n02086240/ILSVRC2012_val_00002701.JPEG,n02086240,155,Shih-Tzu,jpeg,70,155,Shih-Tzu,0.34095776081085205,True,24499,23835,1.0278581917348437,43.17283264918578,0.9917860217259556
imagewoof,data/imagewoof2-320/val/n02086240/ILSVRC2012_val_00003841.JPEG,n02086240,155,Shih-Tzu,jpeg,70,155,Shih-Tzu,0.35869061946868896,True,17369,16880,1.028969194312796,44.264586889067374,0.9922405741384926
imagewoof,data/imagewoof2-320/val/n02086240/ILSVRC2012_val_00004081.JPEG,n02086240,155,Shih-Tzu,jpeg,70,155,Shih-Tzu,0.5089280009269714,True,16358,15946,1.0258372005518626,45.668000280052325,0.9929943557009042
imagewoof,data/imagewoof2-320/val/n02086240/ILSVRC2012_val_00010550.JPEG,n02086240,155,Shih-Tzu,jpeg,70,157,papillon,0.36932384967803955,False,24535,23899,1.0266119921335621,42.59732137931764,0.9926599608291848
imagewoof,data/imagewoof2-320/val/n02086240/ILSVRC2012_val_00014050.JPEG,n02086240,155,Shih-Tzu,jpeg,70,155,Shih-Tzu,0.11617393791675568,True,28228,27476,1.0273693405153588,41.15138044606248,0.9906879579136891
imagewoof,data/imagewoof2-320/val/n02086240/ILSVRC2012_val_00018392.JPEG,n02086240,155,Shih-Tzu,jpeg,70,154,Pekinese,0.19237647950649261,False,14041,13745,1.0215351036740632,47.29980556998136,0.9932874823712715
imagewoof,data/imagewoof2-320/val/n02086240/ILSVRC2012_val_00022091.JPEG,n02086240,155,Shih-Tzu,jpeg,70,155,Shih-Tzu,0.359753280878067,True,22368,21789,1.02657304144293,43.38572265918124,0.9925291068695251
imagewoof,data/imagewoof2-320/val/n02086240/ILSVRC2012_val_00026070.JPEG,n02086240,155,Shih-Tzu,jpeg,70,155,Shih-Tzu,0.3090161383152008,True,21064,20484,1.0283147822690881,43.6538713394424,0.9890202421573088
imagewoof,data/imagewoof2-320/val/n02086240/ILSVRC2012_val_00026421.JPEG,n02086240,155,Shih-Tzu,jpeg,70,154,Pekinese,0.15050095319747925,False,42951,41663,1.0309147204954037,37.62496849069396,0.9908038615848186
imagewoof,data/imagewoof2-320/val/n02086240/ILSVRC2012_val_00026911.JPEG,n02086240,155,Shih-Tzu,jpeg,70,155,Shih-Tzu,0.38985028862953186,True,18312,17742,1.0321271559012513,43.219427617289405,0.98947236987938
