dataset,path,class_id,target_index,target_label,codec,quality,predicted_index,predicted_class,top1_confidence,is_correct,original_size_bytes,compressed_size_bytes,compression_ratio,psnr,ssim
imagewoof,data/imagewoof2-320/val/n02086240/ILSVRC2012_val_00002701.JPEG,n02086240,155,Shih-Tzu,webp,77,155,Shih-Tzu,0.3095585107803345,True,24499,17702,1.3839679132301435,36.56497249245521,0.9552881472607089
imagewoof,data/imagewoof2-320/val/n02086240/ILSVRC2012_val_00003841.JPEG,n02086240,155,Shih-Tzu,webp,77,155,Shih-Tzu,0.31891492009162903,True,17369,11158,1.5566409750851407,38.33566094530204,0.9590629458774081
imagewoof,data/imagewoof2-320/val/n02086240/ILSVRC2012_val_00004081.JPEG,n02086240,155,Shih-Tzu,webp,77,155,Shih-Tzu,0.5003988742828369,True,16358,9732,1.680846691327579,38.289710951582904,0.9593946754550293
imagewoof,data/imagewoof2-320/val/n02086240/ILSVRC2012_val_00010550.JPEG,n02086240,155,Shih-Tzu,webp,77,157,papillon,0.3271865248680115,False,24535,19046,1.2881969967447233,36.97802639171592,0.9618116137916779
imagewoof,data/imagewoof2-320/val/n02086240/ILSVRC2012_val_00014050.JPEG,n02086240,155,Shih-Tzu,webp,77,155,Shih-Tzu,0.10143633186817169,True,28228,24122,1.170218058204129,35.918875517300975,0.9585747579306374
imagewoof,data/imagewoof2-320/val/n02086240/ILSVRC2012_val_00018392.JPEG,n02086240,155,Shih-Tzu,webp,77,153,Maltese dog,0.23068560659885406,False,14041,7888,1.7800456389452333,39.28124031474472,0.9496904401359941
imagewoof,data/imagewoof2-320/val/n02086240/ILSVRC2012_val_00022091.JPEG,n02086240,155,Shih-Tzu,webp,77,155,Shih-Tzu,0.38735270500183105,True,22368,16254,1.3761535622000738,37.27345701652201,0.9530871202833925
imagewoof,data/imagewoof2-320/val/n02086240/ILSVRC2012_val_00026070.JPEG,n02086240,155,Shih-Tzu,webp,77,155,Shih-Tzu,0.3096001148223877,True,21064,14136,1.490096208262592,37.100029675326404,0.9465874127837385
imagewoof,data/imagewoof2-320/val/n02086240/ILSVRC2012_val_00026421.JPEG,n02086240,155,Shih-Tzu,webp,77,155,Shih-Tzu,0.2197132706642151,True,42951,43032,0.9981176798661461,34.053475230701366,0.9753458825782174
imagewoof,data/imagewoof2-320/val/n02086240/ILSVRC2012_val_00026911.JPEG,n02086240,155,Shih-Tzu,webp,77,155,Shih-Tzu,0.38372790813446045,True,18312,11320,1.6176678445229682,37.66940355029425,0.9586040157596513
imagewoof,data/imagewoof2-320/val/n02086240/ILSVRC2012_val_00029700.JPEG,n02086240,155,Shih-Tzu,webp,77,155,Shih-Tzu,0.30228251218795776,True,28839,24126,1.1953494155682667,35.845445307108136,0.9541829858140553
imagewoof,data/imagewoof2-320/val/n02086240/ILSVRC2012_val_00031191.JPEG,n02086240,155,Shih-Tzu,webp,77,155,Shih-Tzu,0.3385813236236572,True,28276,24656,1.1468202465931214,35.93277210271991,0.9534806802830964
imagewoof,data/imagewoof2-320/val/n02086240/ILSVRC2012_val_00036602.JPEG,n02086240,155,Shih-Tzu,webp,77,155,Shih-Tzu,0.4514405131340027,True,19742,13312,1.4830228365384615,37.582638980946015,0.9491854480557218
imagewoof,data/imagewoof2-320/val/n02086240/ILSVRC2012_val_00038882.JPEG,n02086240,155,Shih-Tzu,webp,77,155,Shih-Tzu,0.423910915851593,True,20950,15544,1.3477869274318064,36.857886522338134,0.952314031382322
imagewoof,data/imagewoof2-320/val/n02086240/ILSVRC2012_val_00044661.JPEG,n02086240,155,Shih-Tzu,webp,77,155,Shih-Tzu,0.35432764887809753,True,21490,15250,1.4091803278688524,37.28850424967571,0.9501353133083756
