dataset,path,class_id,target_index,target_label,predicted_index,predicted_class,top1_confidence,is_correct
imagewoof,data/imagewoof2-320/val/n02086240/ILSVRC2012_val_00002701.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.3166196942329407,True
imagewoof,data/imagewoof2-320/val/n02086240/ILSVRC2012_val_00003841.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.3424137532711029,True
imagewoof,data/imagewoof2-320/val/n02086240/ILSVRC2012_val_00004081.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.5175385475158691,True
imagewoof,data/imagewoof2-320/val/n02086240/ILSVRC2012_val_00010550.JPEG,n02086240,155,Shih-Tzu,157,papillon,0.3778690695762634,False
imagewoof,data/imagewoof2-320/val/n02086240/ILSVRC2012_val_00014050.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.12424391508102417,True
imagewoof,data/imagewoof2-320/val/n02086240/ILSVRC2012_val_00018392.JPEG,n02086240,155,Shih-Tzu,154,Pekinese,0.17786240577697754,False
imagewoof,data/imagewoof2-320/val/n02086240/ILSVRC2012_val_00022091.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.3802669048309326,True
imagewoof,data/imagewoof2-320/val/n02086240/ILSVRC2012_val_00026070.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.27999821305274963,True
imagewoof,data/imagewoof2-320/val/n02086240/ILSVRC2012_val_00026421.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.18036894500255585,True
imagewoof,data/imagewoof2-320/val/n02086240/ILSVRC2012_val_00026911.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.36681312322616577,True
imagewoof,data/imagewoof2-320/val/n02086240/ILSVRC2012_val_00029700.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.3018174171447754,True
imagewoof,data/imagewoof2-320/val/n02086240/ILSVRC2012_val_00031191.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.3151264786720276,True
imagewoof,data/imagewoof2-320/val/n02086240/ILSVRC2012_val_00036602.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.36592987179756165,True
imagewoof,data/imagewoof2-320/val/n02086240/ILSVRC2012_val_00038882.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.4044632315635681,True
imagewoof,data/imagewoof2-320/val/n02086240/ILSVRC2012_val_00044661.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.3543473482131958,True
imagewoof,data/imagewoof2-320/val/n02086240/ILSVRC2012_val_00045970.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.3646358847618103,True
imagewoof,data/imagewoof2-320/val/n02086240/n02086240_10.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.2679034471511841,True
imagewoof,data/imagewoof2-320/val/n02086240/n02086240_1001.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.4709118902683258,True
imagewoof,data/imagewoof2-320/val/n02086240/n02086240_10061.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.2083892822265625,True
imagewoof,data/imagewoof2-320/val/n02086240/n02086240_10092.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.18797309696674347,True
imagewoof,data/imagewoof2-320/val/n02086240/n02086240_1011.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.38895657658576965,True
imagewoof,data/imagewoof2-320/val/n02086240/n02086240_10162.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.2721233367919922,True
imagewoof,data/imagewoof2-320/val/n02086240/n02086240_10272.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.12211965024471283,True
imagewoof,data/imagewoof2-320/val/n02086240/n02086240_1030.JPEG,n02086240,155,Shih-Tzu,204,Lhasa,0.22947418689727783,False
imagewoof,data/imagewoof2-320/val/n02086240/n02086240_10350.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.20931725203990936,True
imagewoof,data/imagewoof2-320/val/n02086240/n02086240_10380.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.3339347541332245,True
imagewoof,data/imagewoof2-320/val/n02086240/n02086240_10482.JPEG,n02086240,155,Shih-Tzu,194,Dandie Dinmont,0.16217690706253052,False
imagewoof,data/imagewoof2-320/val/n02086240/n02086240_10540.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.34093621373176575,True
imagewoof,data/imagewoof2-320/val/n02086240/n02086240_10542.JPEG,n02086240,155,Shih-Tzu,196,miniature schnauzer,0.24404029548168182,False
imagewoof,data/imagewoof2-320/val/n02086240/n02086240_10642.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.4786666929721832,True
imagewoof,data/imagewoof2-320/val/n02086240/n02086240_10771.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.49847492575645447,True
imagewoof,data/imagewoof2-320/val/n02086240/n02086240_1082.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.3999708294868469,True
imagewoof,data/imagewoof2-320/val/n02086240/n02086240_10820.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.5174698233604431,True
imagewoof,data/imagewoof2-320/val/n02086240/n02086240_10901.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.3843437433242798,True
imagewoof,data/imagewoof2-320/val/n02086240/n02086240_10970.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.38883158564567566,True
imagewoof,data/imagewoof2-320/val/n02086240/n02086240_110.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.223173588514328,True
imagewoof,data/imagewoof2-320/val/n02086240/n02086240_112.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.2810189723968506,True
imagewoof,data/imagewoof2-320/val/n02086240/n02086240_1122.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.3548505902290344,True
imagewoof,data/imagewoof2-320/val/n02086240/n02086240_1142.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.15351475775241852,True
imagewoof,data/imagewoof2-320/val/n02086240/n02086240_11420.JPEG,n02086240,155,Shih-Tzu,204,Lhasa,0.2595847249031067,False
imagewoof,data/imagewoof2-320/val/n02086240/n02086240_11492.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.4011023938655853,True
imagewoof,data/imagewoof2-320/val/n02086240/n02086240_11500.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.5002507567405701,True
imagewoof,data/imagewoof2-320/val/n02086240/n02086240_11551.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.18843571841716766,True
imagewoof,data/imagewoof2-320/val/n02086240/n02086240_11552.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.40150657296180725,True
imagewoof,data/imagewoof2-320/val/n02086240/n02086240_11622.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.5850945115089417,True
imagewoof,data/imagewoof2-320/val/n02086240/n02086240_11670.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.36606675386428833,True
imagewoof,data/imagewoof2-320/val/n02086240/n02086240_11692.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.28178882598876953,True
imagewoof,data/imagewoof2-320/val/n02086240/n02086240_1170.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.29473596811294556,True
imagewoof,data/imagewoof2-320/val/n02086240/n02086240_11762.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.3316247761249542,True
imagewoof,data/imagewoof2-320/val/n02086240/n02086240_1182.JPEG,n02086240,155,Shih-Tzu,154,Pekinese,0.1777321845293045,False
imagewoof,data/imagewoof2-320/val/n02086240/n02086240_11860.JPEG,n02086240,155,Shih-Tzu,200,Tibetan terrier,0.15590284764766693,False
imagewoof,data/imagewoof2-320/val/n02086240/n02086240_11861.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.2290939837694168,True
imagewoof,data/imagewoof2-320/val/n02086240/n02086240_11901.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.47825416922569275,True
imagewoof,data/imagewoof2-320/val/n02086240/n02086240_11920.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.17112544178962708,True
imagewoof,data/imagewoof2-320/val/n02086240/n02086240_1200.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.24231447279453278,True
imagewoof,data/imagewoof2-320/val/n02086240/n02086240_12012.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.4629361033439636,True
imagewoof,data/imagewoof2-320/val/n02086240/n02086240_12071.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.4053335189819336,True
imagewoof,data/imagewoof2-320/val/n02086240/n02086240_12122.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.4153706431388855,True
imagewoof,data/imagewoof2-320/val/n02086240/n02086240_12182.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.369534432888031,True
imagewoof,data/imagewoof2-320/val/n02086240/n02086240_1220.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.34230542182922363,True
imagewoof,data/imagewoof2-320/val/n02086240/n02086240_12232.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.26447758078575134,True
imagewoof,data/imagewoof2-320/val/n02086240/n02086240_12251.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.40167272090911865,True
imagewoof,data/imagewoof2-320/val/n02086240/n02086240_1230.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.5702803134918213,True
imagewoof,data/imagewoof2-320/val/n02086240/n02086240_12302.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.2683686316013336,True
imagewoof,data/imagewoof2-320/val/n02086240/n02086240_1231.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.3419347107410431,True
imagewoof,data/imagewoof2-320/val/n02086240/n02086240_12311.JPEG,n02086240,155,Shih-Tzu,252,affenpinscher,0.2870684266090393,False
imagewoof,data/imagewoof2-320/val/n02086240/n02086240_12342.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.5778882503509521,True
imagewoof,data/imagewoof2-320/val/n02086240/n02086240_12401.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.38518452644348145,True
imagewoof,data/imagewoof2-320/val/n02086240/n02086240_12470.JPEG,n02086240,155,Shih-Tzu,155,Shih-Tzu,0.33891561627388,True
